Field Name,Variable Name,Field Type,Data Type,Required?
Password,password,text â€“ password,string,y
Char_Icon,icon,text,image file (or hyperlink),n
Ideals,ideal,text area,string,n
Flaws,flaw,text area,string,n
Backstory,story,text area,string,n
Gender,gender,radio button,char,y
Height,height,number,int (in mm),y
Race,race,dropdown,string,y
Alignment,alignment,dropdown,string,y
Class,class_name,dropdown,string,y
Fighting Style,fighting_style,text?,string,n
Background,ideal,text area,string,n
Languages,language,text,string,y
Armor,armor,subform,class,n
Weapon,weapon,subform,class,n
Proficiency_Modifier,proficiency_mod,number,int,n
Abilities,ability,subform,class,y
Strength,strength,number,int,y
Cons,constitution,number,int,y
Wisdom,wisdom,number,int,y
Dex,dexterity,number,int,y
Int,intelligence,number,int,y
Charisma,charisma,number,int,y
Misc.,,,,
Spellcasting,spellcasting,subform,class,n
Feats,feat,dropdown,string,n
Username,username,text,string,y
Character List,character_list,hyperlink list,string,y
Name,char_name,text,string,y
Personality Traits,traits,subform,,n
Bonds,bonds,text,string,n
Traits_of_Note,notable_traits,text area,string,n
Description,description,text area,string,n
Age,age,number,int,n
Weight,weight,number,int,y
Sub_race,sub_race,dropdown,string,n
EXP,exp,number,int,y
Archetype,archetype,dropdown,string,y
Level,level,number,int,y
HP,hp,number,int,y
Tool_Proficiency,tool_prof,number,int,y
Weapon_Proficiency,weapon_prof,number,int,y
Tool,tool,subform,class,n
Skills,skills,dropdown,string,y
Saves,saves,subform,class,y
Equipment,equipment,subform,class,n
Money,money,number,int,y
Spells_player_is_able_to_use,available_spells,dropdown,string,y
Notes,notes,text area,string,n
